State,Age,UrbanRural,LiteracyRate
NATIONAL,59,Rural,43.60%
NATIONAL,59,Urban,77.26%
NATIONAL,60,Rural,33.09%
NATIONAL,60,Urban,59.23%
NATIONAL,61,Rural,40.11%
NATIONAL,61,Urban,73.26%
NATIONAL,62,Rural,40.74%
NATIONAL,62,Urban,77.17%
NATIONAL,63,Rural,43.95%
NATIONAL,63,Urban,81.79%
NATIONAL,64,Rural,41.06%
NATIONAL,64,Urban,75.87%
NATIONAL,65,Rural,31.57%
NATIONAL,65,Urban,57.55%
NATIONAL,66,Rural,38.13%
NATIONAL,66,Urban,70.61%
NATIONAL,67,Rural,43.55%
NATIONAL,67,Urban,79.51%
NATIONAL,68,Rural,36.42%
NATIONAL,68,Urban,75.94%
NATIONAL,69,Rural,36.11%
NATIONAL,69,Urban,71.12%
NATIONAL,70,Rural,26.84%
NATIONAL,70,Urban,51.54%
NATIONAL,71,Rural,33.22%
NATIONAL,71,Urban,66.47%
NATIONAL,72,Rural,38.35%
NATIONAL,72,Urban,74.91%
NATIONAL,73,Rural,42.20%
NATIONAL,73,Urban,79.56%
NATIONAL,74,Rural,39.35%
NATIONAL,74,Urban,74.30%
NATIONAL,75,Rural,28.20%
NATIONAL,75,Urban,55.69%
NATIONAL,76,Rural,35.09%
NATIONAL,76,Urban,68.30%
NATIONAL,77,Rural,42.34%
NATIONAL,77,Urban,78.72%
NATIONAL,78,Rural,36.17%
NATIONAL,78,Urban,74.61%
NATIONAL,79,Rural,32.84%
NATIONAL,79,Urban,67.82%
NATIONAL,80,Rural,22.80%
NATIONAL,80,Urban,47.15%
NATIONAL,81,Rural,29.18%
NATIONAL,81,Urban,60.86%
NATIONAL,82,Rural,39.22%
NATIONAL,82,Urban,73.09%
NATIONAL,83,Rural,44.74%
NATIONAL,83,Urban,76.97%
NATIONAL,84,Rural,41.19%
NATIONAL,84,Urban,70.29%
NATIONAL,85,Rural,28.26%
NATIONAL,85,Urban,52.14%
NATIONAL,86,Rural,36.66%
NATIONAL,86,Urban,64.42%
NATIONAL,87,Rural,45.71%
NATIONAL,87,Urban,74.28%
NATIONAL,88,Rural,43.43%
NATIONAL,88,Urban,72.69%
NATIONAL,89,Rural,35.71%
NATIONAL,89,Urban,64.64%
NATIONAL,90,Rural,23.67%
NATIONAL,90,Urban,45.08%
NATIONAL,91,Rural,35.62%
NATIONAL,91,Urban,61.32%
NATIONAL,92,Rural,50.24%
NATIONAL,92,Urban,73.92%
NATIONAL,93,Rural,54.94%
NATIONAL,93,Urban,76.21%
NATIONAL,94,Rural,51.58%
NATIONAL,94,Urban,72.28%
NATIONAL,95,Rural,34.27%
NATIONAL,95,Urban,54.97%
NATIONAL,96,Rural,45.37%
NATIONAL,96,Urban,67.38%
NATIONAL,97,Rural,53.25%
NATIONAL,97,Urban,76.03%
NATIONAL,98,Rural,45.09%
NATIONAL,98,Urban,71.01%
NATIONAL,99,Rural,30.53%
NATIONAL,99,Urban,58.10%
ANDAMAN & NICOBAR ISLANDS,7,Rural,80.35%
ANDAMAN & NICOBAR ISLANDS,7,Urban,88.86%
ANDAMAN & NICOBAR ISLANDS,8,Rural,93.74%
ANDAMAN & NICOBAR ISLANDS,8,Urban,96.80%
ANDAMAN & NICOBAR ISLANDS,9,Rural,94.62%
ANDAMAN & NICOBAR ISLANDS,9,Urban,96.51%
ANDAMAN & NICOBAR ISLANDS,10,Rural,95.65%
ANDAMAN & NICOBAR ISLANDS,10,Urban,96.60%
ANDAMAN & NICOBAR ISLANDS,11,Rural,96.78%
ANDAMAN & NICOBAR ISLANDS,11,Urban,98.16%
ANDAMAN & NICOBAR ISLANDS,12,Rural,98.51%
ANDAMAN & NICOBAR ISLANDS,12,Urban,99.07%
ANDAMAN & NICOBAR ISLANDS,13,Rural,98.63%
ANDAMAN & NICOBAR ISLANDS,13,Urban,98.88%
ANDAMAN & NICOBAR ISLANDS,14,Rural,98.51%
ANDAMAN & NICOBAR ISLANDS,14,Urban,98.90%
ANDAMAN & NICOBAR ISLANDS,15,Rural,98.15%
ANDAMAN & NICOBAR ISLANDS,15,Urban,98.52%
ANDAMAN & NICOBAR ISLANDS,16,Rural,98.30%
ANDAMAN & NICOBAR ISLANDS,16,Urban,98.83%
ANDAMAN & NICOBAR ISLANDS,17,Rural,97.89%
ANDAMAN & NICOBAR ISLANDS,17,Urban,98.99%
ANDAMAN & NICOBAR ISLANDS,18,Rural,97.27%
ANDAMAN & NICOBAR ISLANDS,18,Urban,97.49%
ANDAMAN & NICOBAR ISLANDS,19,Rural,97.11%
ANDAMAN & NICOBAR ISLANDS,19,Urban,97.05%
ANDAMAN & NICOBAR ISLANDS,20,Rural,95.09%
ANDAMAN & NICOBAR ISLANDS,20,Urban,96.75%
ANDAMAN & NICOBAR ISLANDS,21,Rural,96.00%
ANDAMAN & NICOBAR ISLANDS,21,Urban,96.60%
ANDAMAN & NICOBAR ISLANDS,22,Rural,95.16%
ANDAMAN & NICOBAR ISLANDS,22,Urban,96.34%
ANDAMAN & NICOBAR ISLANDS,23,Rural,94.77%
ANDAMAN & NICOBAR ISLANDS,23,Urban,96.73%
ANDAMAN & NICOBAR ISLANDS,24,Rural,94.12%
ANDAMAN & NICOBAR ISLANDS,24,Urban,95.70%
ANDAMAN & NICOBAR ISLANDS,25,Rural,92.43%
ANDAMAN & NICOBAR ISLANDS,25,Urban,94.03%
ANDAMAN & NICOBAR ISLANDS,26,Rural,93.91%
ANDAMAN & NICOBAR ISLANDS,26,Urban,95.31%
ANDAMAN & NICOBAR ISLANDS,27,Rural,93.94%
ANDAMAN & NICOBAR ISLANDS,27,Urban,95.00%
ANDAMAN & NICOBAR ISLANDS,28,Rural,93.24%
ANDAMAN & NICOBAR ISLANDS,28,Urban,93.77%
ANDAMAN & NICOBAR ISLANDS,29,Rural,92.28%
ANDAMAN & NICOBAR ISLANDS,29,Urban,94.94%
ANDAMAN & NICOBAR ISLANDS,30,Rural,89.48%
ANDAMAN & NICOBAR ISLANDS,30,Urban,90.89%
ANDAMAN & NICOBAR ISLANDS,31,Rural,92.56%
ANDAMAN & NICOBAR ISLANDS,31,Urban,94.32%
ANDAMAN & NICOBAR ISLANDS,32,Rural,91.96%
ANDAMAN & NICOBAR ISLANDS,32,Urban,93.09%
ANDAMAN & NICOBAR ISLANDS,33,Rural,92.80%
ANDAMAN & NICOBAR ISLANDS,33,Urban,93.78%
ANDAMAN & NICOBAR ISLANDS,34,Rural,91.50%
ANDAMAN & NICOBAR ISLANDS,34,Urban,94.54%
ANDAMAN & NICOBAR ISLANDS,35,Rural,85.42%
ANDAMAN & NICOBAR ISLANDS,35,Urban,86.18%
ANDAMAN & NICOBAR ISLANDS,36,Rural,88.30%
ANDAMAN & NICOBAR ISLANDS,36,Urban,90.22%
ANDAMAN & NICOBAR ISLANDS,37,Rural,88.86%
ANDAMAN & NICOBAR ISLANDS,37,Urban,92.83%
ANDAMAN & NICOBAR ISLANDS,38,Rural,85.58%
ANDAMAN & NICOBAR ISLANDS,38,Urban,88.64%
ANDAMAN & NICOBAR ISLANDS,39,Rural,84.39%
ANDAMAN & NICOBAR ISLANDS,39,Urban,89.99%
ANDAMAN & NICOBAR ISLANDS,40,Rural,75.70%
ANDAMAN & NICOBAR ISLANDS,40,Urban,80.04%
ANDAMAN & NICOBAR ISLANDS,41,Rural,83.03%
ANDAMAN & NICOBAR ISLANDS,41,Urban,89.87%
ANDAMAN & NICOBAR ISLANDS,42,Rural,80.18%
ANDAMAN & NICOBAR ISLANDS,42,Urban,87.96%
ANDAMAN & NICOBAR ISLANDS,43,Rural,79.23%
ANDAMAN & NICOBAR ISLANDS,43,Urban,89.34%
ANDAMAN & NICOBAR ISLANDS,44,Rural,78.97%
ANDAMAN & NICOBAR ISLANDS,44,Urban,86.79%
ANDAMAN & NICOBAR ISLANDS,45,Rural,70.09%
ANDAMAN & NICOBAR ISLANDS,45,Urban,77.20%
ANDAMAN & NICOBAR ISLANDS,46,Rural,74.95%
ANDAMAN & NICOBAR ISLANDS,46,Urban,86.79%
ANDAMAN & NICOBAR ISLANDS,47,Rural,76.18%
ANDAMAN & NICOBAR ISLANDS,47,Urban,86.30%
ANDAMAN & NICOBAR ISLANDS,48,Rural,73.35%
ANDAMAN & NICOBAR ISLANDS,48,Urban,82.38%
ANDAMAN & NICOBAR ISLANDS,49,Rural,71.86%
ANDAMAN & NICOBAR ISLANDS,49,Urban,83.91%
ANDAMAN & NICOBAR ISLANDS,50,Rural,62.38%
ANDAMAN & NICOBAR ISLANDS,50,Urban,71.59%
ANDAMAN & NICOBAR ISLANDS,51,Rural,69.80%
ANDAMAN & NICOBAR ISLANDS,51,Urban,83.79%
ANDAMAN & NICOBAR ISLANDS,52,Rural,70.92%
ANDAMAN & NICOBAR ISLANDS,52,Urban,83.38%
ANDAMAN & NICOBAR ISLANDS,53,Rural,71.24%
ANDAMAN & NICOBAR ISLANDS,53,Urban,85.74%
ANDAMAN & NICOBAR ISLANDS,54,Rural,69.64%
ANDAMAN & NICOBAR ISLANDS,54,Urban,83.15%
ANDAMAN & NICOBAR ISLANDS,55,Rural,60.36%
ANDAMAN & NICOBAR ISLANDS,55,Urban,71.40%
ANDAMAN & NICOBAR ISLANDS,56,Rural,64.26%
ANDAMAN & NICOBAR ISLANDS,56,Urban,79.96%
ANDAMAN & NICOBAR ISLANDS,57,Rural,66.39%
ANDAMAN & NICOBAR ISLANDS,57,Urban,82.47%
ANDAMAN & NICOBAR ISLANDS,58,Rural,64.02%
ANDAMAN & NICOBAR ISLANDS,58,Urban,79.89%
ANDAMAN & NICOBAR ISLANDS,59,Rural,62.08%
ANDAMAN & NICOBAR ISLANDS,59,Urban,78.15%
ANDAMAN & NICOBAR ISLANDS,60,Rural,50.09%
ANDAMAN & NICOBAR ISLANDS,60,Urban,61.91%
ANDAMAN & NICOBAR ISLANDS,61,Rural,55.72%
ANDAMAN & NICOBAR ISLANDS,61,Urban,70.78%
ANDAMAN & NICOBAR ISLANDS,62,Rural,57.62%
ANDAMAN & NICOBAR ISLANDS,62,Urban,76.04%
ANDAMAN & NICOBAR ISLANDS,63,Rural,61.05%
ANDAMAN & NICOBAR ISLANDS,63,Urban,79.07%
ANDAMAN & NICOBAR ISLANDS,64,Rural,51.83%
ANDAMAN & NICOBAR ISLANDS,64,Urban,69.47%
ANDAMAN & NICOBAR ISLANDS,65,Rural,46.47%
ANDAMAN & NICOBAR ISLANDS,65,Urban,56.63%
ANDAMAN & NICOBAR ISLANDS,66,Rural,52.65%
ANDAMAN & NICOBAR ISLANDS,66,Urban,72.14%
ANDAMAN & NICOBAR ISLANDS,67,Rural,55.91%
ANDAMAN & NICOBAR ISLANDS,67,Urban,77.19%
ANDAMAN & NICOBAR ISLANDS,68,Rural,52.73%
ANDAMAN & NICOBAR ISLANDS,68,Urban,75.68%
ANDAMAN & NICOBAR ISLANDS,69,Rural,48.43%
ANDAMAN & NICOBAR ISLANDS,69,Urban,67.13%
ANDAMAN & NICOBAR ISLANDS,70,Rural,40.50%
ANDAMAN & NICOBAR ISLANDS,70,Urban,53.86%
ANDAMAN & NICOBAR ISLANDS,71,Rural,46.71%
ANDAMAN & NICOBAR ISLANDS,71,Urban,70.24%
ANDAMAN & NICOBAR ISLANDS,72,Rural,51.41%
ANDAMAN & NICOBAR ISLANDS,72,Urban,79.68%
ANDAMAN & NICOBAR ISLANDS,73,Rural,53.93%
ANDAMAN & NICOBAR ISLANDS,73,Urban,80.45%
ANDAMAN & NICOBAR ISLANDS,74,Rural,51.66%
ANDAMAN & NICOBAR ISLANDS,74,Urban,65.32%
ANDAMAN & NICOBAR ISLANDS,75,Rural,41.78%
ANDAMAN & NICOBAR ISLANDS,75,Urban,59.78%
ANDAMAN & NICOBAR ISLANDS,76,Rural,48.28%
ANDAMAN & NICOBAR ISLANDS,76,Urban,65.91%
ANDAMAN & NICOBAR ISLANDS,77,Rural,46.77%
ANDAMAN & NICOBAR ISLANDS,77,Urban,73.42%
ANDAMAN & NICOBAR ISLANDS,78,Rural,51.33%
ANDAMAN & NICOBAR ISLANDS,78,Urban,63.83%
ANDAMAN & NICOBAR ISLANDS,79,Rural,45.21%
ANDAMAN & NICOBAR ISLANDS,79,Urban,63.77%
ANDAMAN & NICOBAR ISLANDS,80,Rural,35.52%
ANDAMAN & NICOBAR ISLANDS,80,Urban,39.52%
ANDAMAN & NICOBAR ISLANDS,81,Rural,38.38%
ANDAMAN & NICOBAR ISLANDS,81,Urban,58.73%
ANDAMAN & NICOBAR ISLANDS,82,Rural,44.12%
ANDAMAN & NICOBAR ISLANDS,82,Urban,69.57%
ANDAMAN & NICOBAR ISLANDS,83,Rural,49.18%
ANDAMAN & NICOBAR ISLANDS,83,Urban,61.76%
ANDAMAN & NICOBAR ISLANDS,84,Rural,43.96%
ANDAMAN & NICOBAR ISLANDS,84,Urban,60.00%
ANDAMAN & NICOBAR ISLANDS,85,Rural,33.49%
ANDAMAN & NICOBAR ISLANDS,85,Urban,48.39%
ANDAMAN & NICOBAR ISLANDS,86,Rural,52.63%
ANDAMAN & NICOBAR ISLANDS,86,Urban,64.86%
ANDAMAN & NICOBAR ISLANDS,87,Rural,32.35%
ANDAMAN & NICOBAR ISLANDS,87,Urban,68.42%
ANDAMAN & NICOBAR ISLANDS,88,Rural,48.94%
ANDAMAN & NICOBAR ISLANDS,88,Urban,60.00%
ANDAMAN & NICOBAR ISLANDS,89,Rural,40.74%
ANDAMAN & NICOBAR ISLANDS,89,Urban,66.67%
ANDAMAN & NICOBAR ISLANDS,90,Rural,34.78%
ANDAMAN & NICOBAR ISLANDS,90,Urban,66.67%
ANDAMAN & NICOBAR ISLANDS,91,Rural,56.52%
ANDAMAN & NICOBAR ISLANDS,91,Urban,53.33%
ANDAMAN & NICOBAR ISLANDS,92,Rural,40.63%
ANDAMAN & NICOBAR ISLANDS,92,Urban,80.00%
ANDAMAN & NICOBAR ISLANDS,93,Rural,70.83%
ANDAMAN & NICOBAR ISLANDS,93,Urban,90.00%
ANDAMAN & NICOBAR ISLANDS,94,Rural,62.96%
ANDAMAN & NICOBAR ISLANDS,94,Urban,70.00%
ANDAMAN & NICOBAR ISLANDS,95,Rural,52.63%
ANDAMAN & NICOBAR ISLANDS,95,Urban,66.67%
ANDAMAN & NICOBAR ISLANDS,96,Rural,55.56%
ANDAMAN & NICOBAR ISLANDS,96,Urban,87.50%
ANDAMAN & NICOBAR ISLANDS,97,Rural,54.55%
ANDAMAN & NICOBAR ISLANDS,97,Urban,83.33%
ANDAMAN & NICOBAR ISLANDS,98,Rural,33.33%
ANDAMAN & NICOBAR ISLANDS,98,Urban,62.50%
ANDAMAN & NICOBAR ISLANDS,99,Rural,15.38%
ANDAMAN & NICOBAR ISLANDS,99,Urban,66.67%
ANDHRA PRADESH,7,Rural,70.75%
ANDHRA PRADESH,7,Urban,77.62%
ANDHRA PRADESH,8,Rural,86.85%
ANDHRA PRADESH,8,Urban,89.14%
ANDHRA PRADESH,9,Rural,91.99%
ANDHRA PRADESH,9,Urban,92.74%
ANDHRA PRADESH,10,Rural,92.59%
ANDHRA PRADESH,10,Urban,93.45%
ANDHRA PRADESH,11,Rural,94.73%
ANDHRA PRADESH,11,Urban,95.10%
ANDHRA PRADESH,12,Rural,93.97%
ANDHRA PRADESH,12,Urban,95.40%
ANDHRA PRADESH,13,Rural,94.56%
ANDHRA PRADESH,13,Urban,95.77%
ANDHRA PRADESH,14,Rural,93.65%
ANDHRA PRADESH,14,Urban,95.40%
ANDHRA PRADESH,15,Rural,91.60%
ANDHRA PRADESH,15,Urban,94.61%
ANDHRA PRADESH,16,Rural,91.47%
ANDHRA PRADESH,16,Urban,94.78%
ANDHRA PRADESH,17,Rural,91.64%
ANDHRA PRADESH,17,Urban,94.53%
ANDHRA PRADESH,18,Rural,87.15%
ANDHRA PRADESH,18,Urban,92.55%
ANDHRA PRADESH,19,Rural,87.15%
ANDHRA PRADESH,19,Urban,92.39%
ANDHRA PRADESH,20,Rural,80.17%
ANDHRA PRADESH,20,Urban,88.77%
ANDHRA PRADESH,21,Rural,83.74%
ANDHRA PRADESH,21,Urban,91.22%
ANDHRA PRADESH,22,Rural,79.50%
ANDHRA PRADESH,22,Urban,89.11%
ANDHRA PRADESH,23,Rural,79.13%
ANDHRA PRADESH,23,Urban,89.66%
ANDHRA PRADESH,24,Rural,75.21%
ANDHRA PRADESH,24,Urban,87.93%
ANDHRA PRADESH,25,Rural,66.72%
ANDHRA PRADESH,25,Urban,82.23%
ANDHRA PRADESH,26,Rural,70.39%
ANDHRA PRADESH,26,Urban,86.62%
ANDHRA PRADESH,27,Rural,70.31%
ANDHRA PRADESH,27,Urban,86.66%
ANDHRA PRADESH,28,Rural,65.20%
ANDHRA PRADESH,28,Urban,84.39%
ANDHRA PRADESH,29,Rural,64.53%
ANDHRA PRADESH,29,Urban,84.47%
ANDHRA PRADESH,30,Rural,56.07%
ANDHRA PRADESH,30,Urban,77.04%
ANDHRA PRADESH,31,Rural,62.95%
ANDHRA PRADESH,31,Urban,85.04%
ANDHRA PRADESH,32,Rural,59.48%
ANDHRA PRADESH,32,Urban,83.40%
ANDHRA PRADESH,33,Rural,61.84%
ANDHRA PRADESH,33,Urban,85.22%
ANDHRA PRADESH,34,Rural,55.72%
ANDHRA PRADESH,34,Urban,80.70%
ANDHRA PRADESH,35,Rural,48.01%
ANDHRA PRADESH,35,Urban,70.79%
ANDHRA PRADESH,36,Rural,52.59%
ANDHRA PRADESH,36,Urban,79.06%
ANDHRA PRADESH,37,Rural,54.32%
ANDHRA PRADESH,37,Urban,80.99%
ANDHRA PRADESH,38,Rural,49.48%
ANDHRA PRADESH,38,Urban,77.62%
ANDHRA PRADESH,39,Rural,46.93%
ANDHRA PRADESH,39,Urban,76.04%
ANDHRA PRADESH,40,Rural,39.05%
ANDHRA PRADESH,40,Urban,64.61%
ANDHRA PRADESH,41,Rural,46.21%
ANDHRA PRADESH,41,Urban,77.36%
ANDHRA PRADESH,42,Rural,44.90%
ANDHRA PRADESH,42,Urban,77.63%
ANDHRA PRADESH,43,Rural,46.05%
ANDHRA PRADESH,43,Urban,79.40%
ANDHRA PRADESH,44,Rural,40.07%
ANDHRA PRADESH,44,Urban,73.27%
ANDHRA PRADESH,45,Rural,33.30%
ANDHRA PRADESH,45,Urban,60.30%
ANDHRA PRADESH,46,Rural,39.47%
ANDHRA PRADESH,46,Urban,73.18%
ANDHRA PRADESH,47,Rural,43.45%
ANDHRA PRADESH,47,Urban,77.79%
ANDHRA PRADESH,48,Rural,39.10%
ANDHRA PRADESH,48,Urban,72.90%
ANDHRA PRADESH,49,Rural,35.88%
ANDHRA PRADESH,49,Urban,70.44%
ANDHRA PRADESH,50,Rural,28.65%
ANDHRA PRADESH,50,Urban,56.03%
ANDHRA PRADESH,51,Rural,35.82%
ANDHRA PRADESH,51,Urban,71.29%
ANDHRA PRADESH,52,Rural,38.53%
ANDHRA PRADESH,52,Urban,75.61%
ANDHRA PRADESH,53,Rural,41.81%
ANDHRA PRADESH,53,Urban,79.09%
ANDHRA PRADESH,54,Rural,34.10%
ANDHRA PRADESH,54,Urban,71.39%
ANDHRA PRADESH,55,Rural,27.12%
ANDHRA PRADESH,55,Urban,56.17%
ANDHRA PRADESH,56,Rural,34.29%
ANDHRA PRADESH,56,Urban,70.52%
ANDHRA PRADESH,57,Rural,39.37%
ANDHRA PRADESH,57,Urban,78.59%
ANDHRA PRADESH,58,Rural,33.53%
ANDHRA PRADESH,58,Urban,73.39%
ANDHRA PRADESH,59,Rural,28.43%
ANDHRA PRADESH,59,Urban,65.15%
ANDHRA PRADESH,60,Rural,21.82%
ANDHRA PRADESH,60,Urban,47.24%
ANDHRA PRADESH,61,Rural,26.64%
ANDHRA PRADESH,61,Urban,63.84%
ANDHRA PRADESH,62,Rural,28.42%
ANDHRA PRADESH,62,Urban,68.96%
ANDHRA PRADESH,63,Rural,33.10%
ANDHRA PRADESH,63,Urban,75.20%
ANDHRA PRADESH,64,Rural,26.69%
ANDHRA PRADESH,64,Urban,64.64%
ANDHRA PRADESH,65,Rural,21.51%
ANDHRA PRADESH,65,Urban,46.31%
ANDHRA PRADESH,66,Rural,27.35%
ANDHRA PRADESH,66,Urban,61.42%
ANDHRA PRADESH,67,Rural,33.84%
ANDHRA PRADESH,67,Urban,72.97%
ANDHRA PRADESH,68,Rural,28.90%
ANDHRA PRADESH,68,Urban,68.02%
ANDHRA PRADESH,69,Rural,23.88%
ANDHRA PRADESH,69,Urban,58.94%
ANDHRA PRADESH,70,Rural,18.64%
ANDHRA PRADESH,70,Urban,41.49%
ANDHRA PRADESH,71,Rural,23.12%
ANDHRA PRADESH,71,Urban,57.85%
ANDHRA PRADESH,72,Rural,29.14%
ANDHRA PRADESH,72,Urban,68.54%
ANDHRA PRADESH,73,Rural,34.62%
ANDHRA PRADESH,73,Urban,74.19%
ANDHRA PRADESH,74,Rural,27.75%
ANDHRA PRADESH,74,Urban,64.09%
ANDHRA PRADESH,75,Rural,21.26%
ANDHRA PRADESH,75,Urban,46.58%
ANDHRA PRADESH,76,Rural,27.79%
ANDHRA PRADESH,76,Urban,60.86%
ANDHRA PRADESH,77,Rural,37.17%
ANDHRA PRADESH,77,Urban,73.46%
ANDHRA PRADESH,78,Rural,30.79%
ANDHRA PRADESH,78,Urban,67.35%
ANDHRA PRADESH,79,Rural,22.36%
ANDHRA PRADESH,79,Urban,55.37%
ANDHRA PRADESH,80,Rural,16.61%
ANDHRA PRADESH,80,Urban,37.02%
ANDHRA PRADESH,81,Rural,21.51%
ANDHRA PRADESH,81,Urban,52.33%
ANDHRA PRADESH,82,Rural,31.24%
ANDHRA PRADESH,82,Urban,66.58%
ANDHRA PRADESH,83,Rural,38.26%
ANDHRA PRADESH,83,Urban,71.71%
ANDHRA PRADESH,84,Rural,31.69%
ANDHRA PRADESH,84,Urban,60.79%
ANDHRA PRADESH,85,Rural,21.69%
ANDHRA PRADESH,85,Urban,44.52%
ANDHRA PRADESH,86,Rural,31.48%
ANDHRA PRADESH,86,Urban,60.00%
ANDHRA PRADESH,87,Rural,40.68%
ANDHRA PRADESH,87,Urban,69.94%
ANDHRA PRADESH,88,Rural,38.26%
ANDHRA PRADESH,88,Urban,69.66%
ANDHRA PRADESH,89,Rural,27.02%
ANDHRA PRADESH,89,Urban,58.72%
ANDHRA PRADESH,90,Rural,18.20%
ANDHRA PRADESH,90,Urban,41.00%
ANDHRA PRADESH,91,Rural,31.65%
ANDHRA PRADESH,91,Urban,60.02%
ANDHRA PRADESH,92,Rural,41.95%
ANDHRA PRADESH,92,Urban,70.94%
ANDHRA PRADESH,93,Rural,51.28%
ANDHRA PRADESH,93,Urban,73.31%
ANDHRA PRADESH,94,Rural,45.20%
ANDHRA PRADESH,94,Urban,67.17%
ANDHRA PRADESH,95,Rural,30.20%
ANDHRA PRADESH,95,Urban,53.47%
ANDHRA PRADESH,96,Rural,41.73%
ANDHRA PRADESH,96,Urban,67.15%
ANDHRA PRADESH,97,Rural,50.96%
ANDHRA PRADESH,97,Urban,73.79%
ANDHRA PRADESH,98,Rural,42.38%
ANDHRA PRADESH,98,Urban,71.35%
ANDHRA PRADESH,99,Rural,33.74%
ANDHRA PRADESH,99,Urban,64.93%
ARUNACHAL PRADESH,7,Rural,50.86%
ARUNACHAL PRADESH,7,Urban,71.62%
ARUNACHAL PRADESH,8,Rural,63.14%
ARUNACHAL PRADESH,8,Urban,81.51%
ARUNACHAL PRADESH,9,Rural,70.58%
ARUNACHAL PRADESH,9,Urban,85.77%
ARUNACHAL PRADESH,10,Rural,73.09%
ARUNACHAL PRADESH,10,Urban,86.31%
ARUNACHAL PRADESH,11,Rural,78.10%
ARUNACHAL PRADESH,11,Urban,89.65%
ARUNACHAL PRADESH,12,Rural,81.00%
ARUNACHAL PRADESH,12,Urban,91.50%
ARUNACHAL PRADESH,13,Rural,83.88%
ARUNACHAL PRADESH,13,Urban,92.48%
ARUNACHAL PRADESH,14,Rural,84.88%
