State,Age,Sex,LiteracyRate
ANDAMAN & NICOBAR ISLANDS,92,Male,70.59%
ANDAMAN & NICOBAR ISLANDS,93,Female,61.54%
ANDAMAN & NICOBAR ISLANDS,93,Male,85.71%
ANDAMAN & NICOBAR ISLANDS,94,Female,47.06%
ANDAMAN & NICOBAR ISLANDS,94,Male,80.00%
ANDAMAN & NICOBAR ISLANDS,95,Female,37.04%
ANDAMAN & NICOBAR ISLANDS,95,Male,78.26%
ANDAMAN & NICOBAR ISLANDS,96,Female,38.10%
ANDAMAN & NICOBAR ISLANDS,96,Male,100.00%
ANDAMAN & NICOBAR ISLANDS,97,Female,50.00%
ANDAMAN & NICOBAR ISLANDS,97,Male,68.75%
ANDAMAN & NICOBAR ISLANDS,98,Female,33.33%
ANDAMAN & NICOBAR ISLANDS,98,Male,47.06%
ANDAMAN & NICOBAR ISLANDS,99,Female,20.00%
ANDAMAN & NICOBAR ISLANDS,99,Male,33.33%
ANDHRA PRADESH,7,Female,72.88%
ANDHRA PRADESH,7,Male,73.03%
ANDHRA PRADESH,8,Female,87.31%
ANDHRA PRADESH,8,Male,87.80%
ANDHRA PRADESH,9,Female,91.87%
ANDHRA PRADESH,9,Male,92.57%
ANDHRA PRADESH,10,Female,92.29%
ANDHRA PRADESH,10,Male,93.40%
ANDHRA PRADESH,11,Female,94.22%
ANDHRA PRADESH,11,Male,95.45%
ANDHRA PRADESH,12,Female,93.50%
ANDHRA PRADESH,12,Male,95.29%
ANDHRA PRADESH,13,Female,94.01%
ANDHRA PRADESH,13,Male,95.85%
ANDHRA PRADESH,14,Female,93.16%
ANDHRA PRADESH,14,Male,95.20%
ANDHRA PRADESH,15,Female,91.43%
ANDHRA PRADESH,15,Male,93.67%
ANDHRA PRADESH,16,Female,91.35%
ANDHRA PRADESH,16,Male,93.77%
ANDHRA PRADESH,17,Female,91.23%
ANDHRA PRADESH,17,Male,93.94%
ANDHRA PRADESH,18,Female,85.95%
ANDHRA PRADESH,18,Male,91.70%
ANDHRA PRADESH,19,Female,85.60%
ANDHRA PRADESH,19,Male,92.33%
ANDHRA PRADESH,20,Female,77.75%
ANDHRA PRADESH,20,Male,88.46%
ANDHRA PRADESH,21,Female,82.16%
ANDHRA PRADESH,21,Male,90.74%
ANDHRA PRADESH,22,Female,77.51%
ANDHRA PRADESH,22,Male,88.11%
ANDHRA PRADESH,23,Female,77.38%
ANDHRA PRADESH,23,Male,88.36%
ANDHRA PRADESH,24,Female,73.52%
ANDHRA PRADESH,24,Male,86.49%
ANDHRA PRADESH,25,Female,64.32%
ANDHRA PRADESH,25,Male,79.82%
ANDHRA PRADESH,26,Female,69.42%
ANDHRA PRADESH,26,Male,83.46%
ANDHRA PRADESH,27,Female,69.43%
ANDHRA PRADESH,27,Male,83.80%
ANDHRA PRADESH,28,Female,64.05%
ANDHRA PRADESH,28,Male,80.64%
ANDHRA PRADESH,29,Female,64.22%
ANDHRA PRADESH,29,Male,80.75%
ANDHRA PRADESH,30,Female,53.58%
ANDHRA PRADESH,30,Male,71.92%
ANDHRA PRADESH,31,Female,63.30%
ANDHRA PRADESH,31,Male,80.23%
ANDHRA PRADESH,32,Female,58.62%
ANDHRA PRADESH,32,Male,77.36%
ANDHRA PRADESH,33,Female,61.44%
ANDHRA PRADESH,33,Male,80.31%
ANDHRA PRADESH,34,Female,55.00%
ANDHRA PRADESH,34,Male,75.55%
ANDHRA PRADESH,35,Female,44.10%
ANDHRA PRADESH,35,Male,66.40%
ANDHRA PRADESH,36,Female,51.38%
ANDHRA PRADESH,36,Male,73.29%
ANDHRA PRADESH,37,Female,53.89%
ANDHRA PRADESH,37,Male,75.97%
ANDHRA PRADESH,38,Female,48.01%
ANDHRA PRADESH,38,Male,71.82%
ANDHRA PRADESH,39,Female,46.70%
ANDHRA PRADESH,39,Male,69.06%
ANDHRA PRADESH,40,Female,35.15%
ANDHRA PRADESH,40,Male,57.64%
ANDHRA PRADESH,41,Female,47.28%
ANDHRA PRADESH,41,Male,68.74%
ANDHRA PRADESH,42,Female,45.11%
ANDHRA PRADESH,42,Male,67.07%
ANDHRA PRADESH,43,Female,47.89%
ANDHRA PRADESH,43,Male,69.97%
ANDHRA PRADESH,44,Female,41.71%
ANDHRA PRADESH,44,Male,62.96%
ANDHRA PRADESH,45,Female,30.32%
ANDHRA PRADESH,45,Male,52.18%
ANDHRA PRADESH,46,Female,40.74%
ANDHRA PRADESH,46,Male,62.47%
ANDHRA PRADESH,47,Female,45.88%
ANDHRA PRADESH,47,Male,68.39%
ANDHRA PRADESH,48,Female,39.38%
ANDHRA PRADESH,48,Male,62.83%
ANDHRA PRADESH,49,Female,37.12%
ANDHRA PRADESH,49,Male,59.45%
ANDHRA PRADESH,50,Female,25.99%
ANDHRA PRADESH,50,Male,46.90%
ANDHRA PRADESH,51,Female,37.26%
ANDHRA PRADESH,51,Male,60.12%
ANDHRA PRADESH,52,Female,39.27%
ANDHRA PRADESH,52,Male,63.58%
ANDHRA PRADESH,53,Female,43.97%
ANDHRA PRADESH,53,Male,69.20%
ANDHRA PRADESH,54,Female,35.30%
ANDHRA PRADESH,54,Male,60.98%
ANDHRA PRADESH,55,Female,24.11%
ANDHRA PRADESH,55,Male,48.95%
ANDHRA PRADESH,56,Female,33.25%
ANDHRA PRADESH,56,Male,61.33%
ANDHRA PRADESH,57,Female,40.13%
ANDHRA PRADESH,57,Male,70.72%
ANDHRA PRADESH,58,Female,32.69%
ANDHRA PRADESH,58,Male,63.96%
ANDHRA PRADESH,59,Female,27.77%
ANDHRA PRADESH,59,Male,56.01%
ANDHRA PRADESH,60,Female,18.10%
ANDHRA PRADESH,60,Male,40.25%
ANDHRA PRADESH,61,Female,25.25%
ANDHRA PRADESH,61,Male,52.05%
ANDHRA PRADESH,62,Female,26.14%
ANDHRA PRADESH,62,Male,53.28%
ANDHRA PRADESH,63,Female,32.49%
ANDHRA PRADESH,63,Male,61.93%
ANDHRA PRADESH,64,Female,24.57%
ANDHRA PRADESH,64,Male,51.67%
ANDHRA PRADESH,65,Female,16.69%
ANDHRA PRADESH,65,Male,39.09%
ANDHRA PRADESH,66,Female,24.35%
ANDHRA PRADESH,66,Male,49.81%
ANDHRA PRADESH,67,Female,31.70%
ANDHRA PRADESH,67,Male,60.11%
ANDHRA PRADESH,68,Female,25.93%
ANDHRA PRADESH,68,Male,53.84%
ANDHRA PRADESH,69,Female,21.37%
ANDHRA PRADESH,69,Male,46.49%
ANDHRA PRADESH,70,Female,13.90%
ANDHRA PRADESH,70,Male,33.70%
ANDHRA PRADESH,71,Female,20.17%
ANDHRA PRADESH,71,Male,45.99%
ANDHRA PRADESH,72,Female,25.35%
ANDHRA PRADESH,72,Male,53.91%
ANDHRA PRADESH,73,Female,32.15%
ANDHRA PRADESH,73,Male,62.49%
ANDHRA PRADESH,74,Female,24.77%
ANDHRA PRADESH,74,Male,52.87%
ANDHRA PRADESH,75,Female,16.69%
ANDHRA PRADESH,75,Male,39.11%
ANDHRA PRADESH,76,Female,24.11%
ANDHRA PRADESH,76,Male,52.28%
ANDHRA PRADESH,77,Female,35.69%
ANDHRA PRADESH,77,Male,65.54%
ANDHRA PRADESH,78,Female,27.60%
ANDHRA PRADESH,78,Male,58.38%
ANDHRA PRADESH,79,Female,20.35%
ANDHRA PRADESH,79,Male,47.31%
ANDHRA PRADESH,80,Female,12.90%
ANDHRA PRADESH,80,Male,32.42%
ANDHRA PRADESH,81,Female,19.56%
ANDHRA PRADESH,81,Male,45.26%
ANDHRA PRADESH,82,Female,28.92%
ANDHRA PRADESH,82,Male,58.51%
ANDHRA PRADESH,83,Female,37.25%
ANDHRA PRADESH,83,Male,67.30%
ANDHRA PRADESH,84,Female,29.94%
ANDHRA PRADESH,84,Male,57.75%
ANDHRA PRADESH,85,Female,18.47%
ANDHRA PRADESH,85,Male,41.95%
ANDHRA PRADESH,86,Female,30.00%
ANDHRA PRADESH,86,Male,57.06%
ANDHRA PRADESH,87,Female,40.81%
ANDHRA PRADESH,87,Male,68.51%
ANDHRA PRADESH,88,Female,39.11%
ANDHRA PRADESH,88,Male,66.02%
ANDHRA PRADESH,89,Female,28.60%
ANDHRA PRADESH,89,Male,54.62%
ANDHRA PRADESH,90,Female,15.52%
ANDHRA PRADESH,90,Male,37.88%
ANDHRA PRADESH,91,Female,31.05%
ANDHRA PRADESH,91,Male,56.01%
ANDHRA PRADESH,92,Female,40.82%
ANDHRA PRADESH,92,Male,66.71%
ANDHRA PRADESH,93,Female,49.28%
ANDHRA PRADESH,93,Male,71.99%
ANDHRA PRADESH,94,Female,42.48%
ANDHRA PRADESH,94,Male,67.38%
ANDHRA PRADESH,95,Female,26.43%
ANDHRA PRADESH,95,Male,52.63%
ANDHRA PRADESH,96,Female,40.45%
ANDHRA PRADESH,96,Male,64.40%
ANDHRA PRADESH,97,Female,49.54%
ANDHRA PRADESH,97,Male,72.86%
ANDHRA PRADESH,98,Female,40.94%
ANDHRA PRADESH,98,Male,68.63%
ANDHRA PRADESH,99,Female,35.14%
ANDHRA PRADESH,99,Male,61.53%
ARUNACHAL PRADESH,7,Female,53.68%
ARUNACHAL PRADESH,7,Male,56.27%
ARUNACHAL PRADESH,8,Female,64.51%
ARUNACHAL PRADESH,8,Male,68.69%
ARUNACHAL PRADESH,9,Female,72.07%
ARUNACHAL PRADESH,9,Male,75.14%
ARUNACHAL PRADESH,10,Female,74.12%
ARUNACHAL PRADESH,10,Male,77.27%
ARUNACHAL PRADESH,11,Female,78.67%
ARUNACHAL PRADESH,11,Male,82.47%
ARUNACHAL PRADESH,12,Female,81.23%
ARUNACHAL PRADESH,12,Male,85.20%
ARUNACHAL PRADESH,13,Female,84.01%
ARUNACHAL PRADESH,13,Male,87.83%
ARUNACHAL PRADESH,14,Female,84.49%
ARUNACHAL PRADESH,14,Male,88.72%
ARUNACHAL PRADESH,15,Female,83.04%
ARUNACHAL PRADESH,15,Male,87.09%
ARUNACHAL PRADESH,16,Female,83.81%
ARUNACHAL PRADESH,16,Male,88.33%
ARUNACHAL PRADESH,17,Female,82.73%
ARUNACHAL PRADESH,17,Male,87.79%
ARUNACHAL PRADESH,18,Female,78.46%
ARUNACHAL PRADESH,18,Male,85.81%
ARUNACHAL PRADESH,19,Female,76.56%
ARUNACHAL PRADESH,19,Male,85.01%
ARUNACHAL PRADESH,20,Female,72.08%
ARUNACHAL PRADESH,20,Male,81.70%
ARUNACHAL PRADESH,21,Female,72.81%
ARUNACHAL PRADESH,21,Male,83.23%
ARUNACHAL PRADESH,22,Female,70.64%
ARUNACHAL PRADESH,22,Male,82.51%
ARUNACHAL PRADESH,23,Female,71.00%
ARUNACHAL PRADESH,23,Male,83.20%
ARUNACHAL PRADESH,24,Female,68.03%
ARUNACHAL PRADESH,24,Male,82.39%
ARUNACHAL PRADESH,25,Female,61.95%
ARUNACHAL PRADESH,25,Male,77.97%
ARUNACHAL PRADESH,26,Female,65.07%
ARUNACHAL PRADESH,26,Male,80.85%
ARUNACHAL PRADESH,27,Female,64.11%
ARUNACHAL PRADESH,27,Male,80.66%
ARUNACHAL PRADESH,28,Female,59.62%
ARUNACHAL PRADESH,28,Male,79.90%
ARUNACHAL PRADESH,29,Female,56.96%
ARUNACHAL PRADESH,29,Male,78.19%
ARUNACHAL PRADESH,30,Female,51.97%
ARUNACHAL PRADESH,30,Male,72.85%
ARUNACHAL PRADESH,31,Female,57.45%
ARUNACHAL PRADESH,31,Male,78.33%
ARUNACHAL PRADESH,32,Female,56.20%
ARUNACHAL PRADESH,32,Male,77.91%
ARUNACHAL PRADESH,33,Female,54.14%
ARUNACHAL PRADESH,33,Male,79.65%
ARUNACHAL PRADESH,34,Female,51.20%
ARUNACHAL PRADESH,34,Male,76.20%
ARUNACHAL PRADESH,35,Female,45.78%
ARUNACHAL PRADESH,35,Male,70.16%
ARUNACHAL PRADESH,36,Female,49.26%
ARUNACHAL PRADESH,36,Male,74.49%
ARUNACHAL PRADESH,37,Female,47.02%
ARUNACHAL PRADESH,37,Male,73.38%
ARUNACHAL PRADESH,38,Female,44.90%
ARUNACHAL PRADESH,38,Male,71.87%
ARUNACHAL PRADESH,39,Female,38.64%
ARUNACHAL PRADESH,39,Male,68.54%
ARUNACHAL PRADESH,40,Female,34.52%
ARUNACHAL PRADESH,40,Male,62.10%
ARUNACHAL PRADESH,41,Female,39.26%
ARUNACHAL PRADESH,41,Male,69.48%
ARUNACHAL PRADESH,42,Female,37.79%
ARUNACHAL PRADESH,42,Male,71.25%
ARUNACHAL PRADESH,43,Female,38.19%
ARUNACHAL PRADESH,43,Male,72.88%
ARUNACHAL PRADESH,44,Female,33.44%
ARUNACHAL PRADESH,44,Male,66.58%
ARUNACHAL PRADESH,45,Female,28.68%
ARUNACHAL PRADESH,45,Male,60.46%
ARUNACHAL PRADESH,46,Female,31.42%
ARUNACHAL PRADESH,46,Male,65.95%
ARUNACHAL PRADESH,47,Female,29.06%
ARUNACHAL PRADESH,47,Male,65.12%
ARUNACHAL PRADESH,48,Female,27.27%
ARUNACHAL PRADESH,48,Male,62.29%
ARUNACHAL PRADESH,49,Female,20.56%
ARUNACHAL PRADESH,49,Male,56.04%
ARUNACHAL PRADESH,50,Female,18.48%
ARUNACHAL PRADESH,50,Male,47.37%
ARUNACHAL PRADESH,51,Female,20.64%
ARUNACHAL PRADESH,51,Male,54.63%
ARUNACHAL PRADESH,52,Female,19.47%
ARUNACHAL PRADESH,52,Male,56.61%
ARUNACHAL PRADESH,53,Female,18.32%
ARUNACHAL PRADESH,53,Male,61.48%
ARUNACHAL PRADESH,54,Female,16.50%
ARUNACHAL PRADESH,54,Male,54.15%
ARUNACHAL PRADESH,55,Female,13.16%
ARUNACHAL PRADESH,55,Male,44.84%
ARUNACHAL PRADESH,56,Female,13.42%
ARUNACHAL PRADESH,56,Male,49.70%
ARUNACHAL PRADESH,57,Female,13.63%
ARUNACHAL PRADESH,57,Male,49.05%
ARUNACHAL PRADESH,58,Female,11.30%
ARUNACHAL PRADESH,58,Male,44.92%
ARUNACHAL PRADESH,59,Female,8.80%
ARUNACHAL PRADESH,59,Male,33.83%
ARUNACHAL PRADESH,60,Female,7.43%
ARUNACHAL PRADESH,60,Male,28.53%
ARUNACHAL PRADESH,61,Female,9.47%
ARUNACHAL PRADESH,61,Male,31.07%
ARUNACHAL PRADESH,62,Female,10.62%
ARUNACHAL PRADESH,62,Male,35.88%
ARUNACHAL PRADESH,63,Female,11.52%
ARUNACHAL PRADESH,63,Male,37.35%
ARUNACHAL PRADESH,64,Female,10.11%
ARUNACHAL PRADESH,64,Male,30.84%
ARUNACHAL PRADESH,65,Female,8.61%
ARUNACHAL PRADESH,65,Male,27.59%
ARUNACHAL PRADESH,66,Female,11.58%
ARUNACHAL PRADESH,66,Male,30.32%
ARUNACHAL PRADESH,67,Female,12.90%
ARUNACHAL PRADESH,67,Male,31.22%
ARUNACHAL PRADESH,68,Female,9.26%
ARUNACHAL PRADESH,68,Male,31.32%
ARUNACHAL PRADESH,69,Female,7.84%
ARUNACHAL PRADESH,69,Male,25.00%
ARUNACHAL PRADESH,70,Female,6.81%
ARUNACHAL PRADESH,70,Male,20.34%
ARUNACHAL PRADESH,71,Female,7.04%
ARUNACHAL PRADESH,71,Male,23.82%
ARUNACHAL PRADESH,72,Female,7.60%
ARUNACHAL PRADESH,72,Male,24.61%
ARUNACHAL PRADESH,73,Female,5.41%
ARUNACHAL PRADESH,73,Male,29.16%
ARUNACHAL PRADESH,74,Female,7.27%
ARUNACHAL PRADESH,74,Male,24.45%
ARUNACHAL PRADESH,75,Female,5.61%
ARUNACHAL PRADESH,75,Male,21.91%
ARUNACHAL PRADESH,76,Female,6.16%
ARUNACHAL PRADESH,76,Male,21.41%
ARUNACHAL PRADESH,77,Female,8.36%
ARUNACHAL PRADESH,77,Male,26.07%
ARUNACHAL PRADESH,78,Female,7.36%
ARUNACHAL PRADESH,78,Male,25.21%
ARUNACHAL PRADESH,79,Female,6.63%
ARUNACHAL PRADESH,79,Male,15.24%
ARUNACHAL PRADESH,80,Female,4.46%
ARUNACHAL PRADESH,80,Male,14.68%
ARUNACHAL PRADESH,81,Female,9.20%
ARUNACHAL PRADESH,81,Male,22.99%
ARUNACHAL PRADESH,82,Female,16.74%
ARUNACHAL PRADESH,82,Male,31.53%
ARUNACHAL PRADESH,83,Female,18.49%
ARUNACHAL PRADESH,83,Male,46.67%
ARUNACHAL PRADESH,84,Female,21.13%
ARUNACHAL PRADESH,84,Male,21.05%
ARUNACHAL PRADESH,85,Female,12.42%
ARUNACHAL PRADESH,85,Male,25.22%
ARUNACHAL PRADESH,86,Female,23.33%
ARUNACHAL PRADESH,86,Male,32.00%
ARUNACHAL PRADESH,87,Female,26.85%
ARUNACHAL PRADESH,87,Male,32.61%
ARUNACHAL PRADESH,88,Female,29.00%
ARUNACHAL PRADESH,88,Male,39.37%
ARUNACHAL PRADESH,89,Female,16.04%
ARUNACHAL PRADESH,89,Male,30.69%
ARUNACHAL PRADESH,90,Female,18.32%
ARUNACHAL PRADESH,90,Male,34.23%
ARUNACHAL PRADESH,91,Female,35.05%
ARUNACHAL PRADESH,91,Male,38.71%
ARUNACHAL PRADESH,92,Female,34.21%
